symbol,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
ABCB,204548000,-38071000,,,629257000,,,41444000,,-11281000,,,2018-09-30,,1404977000,11428994000.0,,,10024017000,129209000
ABCB,89834000,-103962000,,,424709000,716621000.0,,9387000,,-11040000,,,2018-06-30,,1371896000,11190697000.0,,950782000.0,9818801000,107306000
ABCB,4217000,48497000,,,334875000,480000000.0,,26660000,,-7098000,,,2018-03-31,,868944000,8022828000.0,,641416000.0,7153884000,95265000
ABCB,86743000,33121000,,,330658000,175000000.0,,9150000,,-11322000,,,2017-12-31,,804479000,7856203000.0,,336104000.0,7051724000,93086000
ABDC,-4912556,3278503,,,7791745,,,3082002,,48660750,,,2018-09-30,,149813813,266119974.0,,,116306161,4098955
ABDC,-717444,1734242,,,12704301,,,-2239011,,37861953,,,2018-06-30,,149594744,269476249.0,,,119881505,-214134
ABDC,-461211,38910699,,,13421745,,,3538960,,17646820,,,2018-03-31,,157182400,291945692.0,,,134763292,6249478
ABDC,8957471,-15864332,,,13882956,,,-13368270,,-116099586,,,2017-12-31,,157714175,310326150.0,,,152611975,28959626
ABEO,-16391000,-9040000,,114551000,34159000,,,-16419000,18625000,,-16916000,1709000,2018-09-30,13150000,150245000,160576000.0,112224000,,10331000,1709000
ABEO,-81725000,-9022000,,121826000,50550000,,,-11700000,12833000,,-12014000,819000,2018-06-30,7916000,160914000,166697000.0,119842000,,5783000,819000
ABEO,-5755000,-4082000,,134151000,132275000,,,-8463000,11214000,,-8616000,2598000,2018-03-31,8162000,169199000,175653000.0,131995000,,6454000,2598000
ABEO,81228000,-5326000,,140592000,137750000,,,-8450000,8965000,,-8750000,215000,2017-12-31,5706000,170098000,178766000.0,137750000,,8668000,215000
ABEV,401561215.62,1298268146.565,1079325721.785,6469963691.955,3013226594.175,928812744.285,1652810293.35,699140559.255,807478047.15,25917865.53,845332246.2,4008867100.47,2018-09-30,,14559318116.52,23630424613.635,3022773981.765,1236311621.625,8808204158.16,2732136015.135
ABEV,560279616.0,793212842.24,1131555135.36,6811438940.8,2738786452.48,958622354.56,1836986711.04,597639843.84,905612314.88,5535479.04,931374396.16,4365864455.68,2018-06-30,,13479093413.76,23450436139.52,2742353228.16,1253028491.52,9667309724.8,2968541846.4
ABEV,-679103209.155,239720736.675,1349666218.62,6523468415.88,2406405342.75,992118501.69,2172256643.115,761242042.53,1025072973.795,20434937.535,1147183669.32,5281185843.975,2018-03-31,,14772379400.865,24924985493.925,2410143835.89,1351794460.83,9866855537.805,3521922861.735
ABEV,369398863.285,2687085026.47,1505907435.98,7461993430.0,3125324839.5,399363666.5,3030590609.535,941728446.19,1141592919.865,-10986802.69,1888997689.67,6648717051.31,2017-12-31,,13889366588.0,26219285831.5,3129460664.0,771255798.0,11733998253.5,4536498045.515
ABG,4300000,77300000,1479400000,1375500000,6800000,13100000,278000000,44300000,197200000,,80800000,1684100000,2018-09-30,,481000000,2516300000.0,6800000,865200000,2035300000,1757400000
ABG,-2300000,-6700000,1445800000,1386000000,2500000,13100000,277800000,43200000,198200000,,79600000,1650100000,2018-06-30,,450500000,2520900000.0,2500000,868700000,2070400000,1723600000
ABG,100000,35800000,1343800000,1326600000,4800000,13000000,265400000,40100000,192200000,,73200000,1541000000,2018-03-31,,424300000,2429400000.0,4800000,872100000,2005100000,1609200000
ABG,1900000,23100000,1402500000,1302100000,4700000,12900000,268400000,42500000,189200000,,79200000,1598200000,2017-12-31,,394200000,2356700000.0,4700000,875500000,1962500000,1670900000
ABIL,3241000,-430000,297000,18142000,3391000,1520000.0,-272000,-2343000,2017000,-10000.0,-2289000,25000,2018-09-30,,-4625000,19274000.0,3391000,,23899000,25000
ABIL,-560000,-1182000,369000,15219000,150000,630000.0,-344000,-2674000,2324000,,-2668000,25000,2018-06-30,,-5104000,16416000.0,150000,,21520000,25000
ABIL,-1234000,-1234000,495000,15952000,710000,,-108000,-3021000,2933000,,-3041000,387000,2018-03-31,,-2430000,17216000.0,710000,,19646000,387000
ABIL,-1620000,-1621000,1231000,6482000,1944000,,712000,34000,687000,,25000,1943000,2017-12-31,,591000,20013000.0,1944000,,19422000,1943000
ABIO,-1579000,-1576000,,8392000,8056000,,,-1593000,1662000,,-1662000,,2018-09-30,740000,7463000,8445000.0,8056000,,982000,
ABIO,-2461000,-2254000,,10010000,9635000,,,-2116000,2156000,,-2156000,,2018-06-30,1154000,8998000,10067000.0,9635000,,1069000,
ABIO,3394000,-3071000,,12727000,12096000,,,-2735000,2773000,,-2773000,,2018-03-31,1720000,11054000,12788000.0,12096000,,1734000,
ABIO,560000,-4196000,,12299000,8702000,,,-4197000,4297000,,-4297000,,2017-12-31,2834000,10275000,12365000.0,11752000,,2090000,
ABM,-6400000,113500000,1465600000,1171000000,39100000,37000000,183100000,9700000,127700000,1100000,55400000,1648700000,2018-10-31,,1454700000,3627500000.0,39100000,939100000,2172900000,1648700000
ABM,-22700000,74100000,1446700000,1240600000,46000000,27000000,177600000,33600000,126600000,-800000,51000000,1624300000,2018-07-31,,1456500000,3740400000.0,46000000,1025400000,2284000000,1624300000
ABM,2000000,99600000,1405800000,1215700000,69700000,17000000,175000000,26600000,124500000,-500000,50500000,1580800000,2018-04-30,,1436600000,3749900000.0,69700000,1107300000,2313300000,1580800000
ABM,4100000,33700000,1429300000,1218100000,68600000,7000000,159000000,27800000,125200000,-600000,33800000,1588300000,2018-01-31,,1416700000,3797000000.0,68600000,1180400000,2380200000,1588300000
ABMD,15032000,60560000,29846000,561599000,76382000,,151932000,50127000,101612000,,50320000,181778000,2018-09-30,22717000,792954000,887165000.0,410446000,,94211000,181778000
ABMD,19598000,46631000,30850000,497297000,61288000,,149160000,90066000,102412000,,46748000,180010000,2018-06-30,21273000,723359000,812039000.0,360516000,,88680000,180010000
ABMD,-9505000,56399000,30098000,494271000,42975000,,144338000,36847000,96771000,,47567000,174309000,2018-03-31,21270000,689524000,786375000.0,362249000,,96851000,174436000
