Fips,State,County,$ Average House Price,$ Average Rent,$ Intrinsic Value Of Average House,% Property Tax Rate,% Rent Growth Forecast,% Total Return,% Annual Return,% Net Annual Return
04019,AZ,Pima,201100.0,14412.0,172179.0,1.0,0.6,-14.4,4.9,-0.8
17117,IL,Macoupin,66500.0,11016.0,99189.0,1.5,0.0,49.2,8.5,2.8
05023,AR,Cleburne,132000.0,12204.0,134371.0,0.5,0.0,1.8,5.8,0.1
39159,OH,Union,201100.0,16764.0,208754.0,1.5,1.1,3.8,5.9,0.2
01019,AL,Cherokee,117700.0,11412.0,124237.0,0.4,0.0,5.6,6.0,0.3
06011,CA,Colusa,217500.0,17880.0,271433.0,0.7,1.3,24.8,7.1,1.4
27095,MN,Mille Lacs,173000.0,15516.0,194747.0,1.1,0.8,12.6,6.4,0.7
37141,NC,Pender,230900.0,16788.0,241189.0,0.7,1.1,4.5,6.0,0.3
18135,IN,Randolph,79300.0,8964.0,76829.0,0.9,0.0,-3.1,5.5,-0.2
55043,WI,Grant,130900.0,12768.0,124880.0,1.5,0.1,-4.6,5.5,-0.3
37009,NC,Ashe,134300.0,13848.0,172063.0,0.5,0.4,28.1,7.3,1.6
06037,CA,Los Angeles,609600.0,32520.0,963457.0,0.8,2.6,58.0,9.0,3.3
21073,KY,Franklin,129900.0,12588.0,133301.0,0.8,0.0,2.6,5.9,0.1
37039,NC,Cherokee,145800.0,13668.0,165060.0,0.6,0.4,13.2,6.5,0.8
06013,CA,Contra Costa,624700.0,32616.0,932449.0,0.9,2.6,49.3,8.5,2.8
26031,MI,Cheboygan,104400.0,11640.0,116791.0,0.9,0.0,11.9,6.4,0.7
19045,IA,Clinton,106500.0,11244.0,102555.0,1.5,0.0,-3.7,5.5,-0.2
37115,NC,Madison,198000.0,14688.0,191239.0,0.6,0.6,-3.4,5.5,-0.2
29189,MO,Saint Louis,182500.0,14976.0,175927.0,1.3,0.7,-3.6,5.5,-0.2
47105,TN,Loudon,197900.0,13644.0,168614.0,0.4,0.4,-14.8,4.9,-0.8
55015,WI,Calumet,178300.0,12624.0,117196.0,1.8,0.0,-34.3,3.8,-2.0
41065,OR,Wasco,235900.0,16788.0,226775.0,1.1,1.1,-3.9,5.5,-0.2
40133,OK,Seminole,50000.0,8592.0,75413.0,0.5,0.0,50.8,8.6,2.9
40049,OK,Garvin,63900.0,9516.0,90642.0,0.5,0.0,41.8,8.1,2.4
24047,MD,Worcester,244600.0,16080.0,218191.0,0.8,0.9,-10.8,5.1,-0.6
51660,VA,Harrisonburg City,188600.0,12480.0,135220.0,0.6,0.0,-28.3,4.1,-1.6
04013,AZ,Maricopa,265200.0,16740.0,239941.0,0.7,1.1,-9.5,5.2,-0.5
21113,KY,Jessamine,151400.0,13680.0,158265.0,0.8,0.4,4.5,6.0,0.3
21167,KY,Mercer,132100.0,11328.0,114571.0,0.8,0.0,-13.3,5.0,-0.8
08037,CO,Eagle,725200.0,43416.0,1562904.0,0.5,3.0,115.5,12.3,6.6
18179,IN,Wells,127400.0,12492.0,136858.0,0.6,0.0,7.4,6.1,0.4
16051,ID,Jefferson,212700.0,14208.0,174965.0,0.7,0.5,-17.7,4.7,-1.0
47089,TN,Jefferson,139100.0,13104.0,152398.0,0.5,0.2,9.6,6.3,0.5
20055,KS,Finney,148400.0,13740.0,148376.0,1.3,0.4,-0.0,5.7,-0.0
39053,OH,Gallia,95400.0,10788.0,102928.0,1.0,0.0,7.9,6.2,0.5
51047,VA,Culpeper,255800.0,19824.0,332438.0,0.6,1.6,30.0,7.4,1.7
39117,OH,Morrow,139100.0,12588.0,128647.0,1.1,0.0,-7.5,5.3,-0.4
37145,NC,Person,137800.0,13512.0,158115.0,0.7,0.3,14.7,6.6,0.8
20079,KS,Harvey,125800.0,9312.0,76417.0,1.4,0.0,-39.3,3.5,-2.2
22069,LA,Natchitoches,128500.0,14388.0,189513.0,0.4,0.6,47.5,8.4,2.7
40087,OK,McClain,160100.0,13236.0,150941.0,0.7,0.2,-5.7,5.4,-0.3
17085,IL,Jo Daviess,119400.0,14388.0,155249.0,1.6,0.6,30.0,7.4,1.7
51790,VA,Staunton City,155700.0,13680.0,158540.0,0.8,0.4,1.8,5.8,0.1
06001,CA,Alameda,876500.0,37656.0,1220416.0,0.9,2.8,39.2,8.0,2.2
13213,GA,Murray,124500.0,13104.0,147864.0,0.7,0.2,18.8,6.8,1.1
23013,ME,Knox,229200.0,16428.0,215198.0,1.1,1.0,-6.1,5.4,-0.3
20061,KS,Geary,129900.0,13092.0,134827.0,1.3,0.2,3.8,5.9,0.2
18151,IN,Steuben,156600.0,13836.0,166727.0,0.7,0.4,6.5,6.1,0.4
16075,ID,Payette,188800.0,13668.0,160947.0,0.7,0.4,-14.8,4.9,-0.8
37113,NC,Macon,174200.0,14100.0,179820.0,0.4,0.5,3.2,5.9,0.2
42031,PA,Clarion,83600.0,11424.0,112345.0,1.0,0.0,34.4,7.7,2.0
25017,MA,Middlesex,540500.0,29928.0,761556.0,1.2,2.5,40.9,8.1,2.3
42109,PA,Snyder,152800.0,14280.0,163787.0,1.2,0.5,7.2,6.1,0.4
12093,FL,Okeechobee,124400.0,15540.0,198346.0,1.0,0.8,59.4,9.1,3.4
48459,TX,Upshur,138800.0,15024.0,182843.0,1.1,0.7,31.7,7.5,1.8
16069,ID,Nez Perce,215500.0,14988.0,188510.0,0.9,0.7,-12.5,5.0,-0.7
48217,TX,Hill,90500.0,12972.0,130973.0,1.4,0.2,44.7,8.3,2.6
45029,SC,Colleton,125200.0,13224.0,154075.0,0.6,0.2,23.1,7.0,1.3
55049,WI,Iowa,160400.0,13152.0,128879.0,1.7,0.2,-19.7,4.6,-1.1
17105,IL,Livingston,91000.0,13284.0,122313.0,2.2,0.2,34.4,7.7,2.0
22075,LA,Plaquemines,227000.0,17316.0,276581.0,0.3,1.2,21.8,7.0,1.2
47183,TN,Weakley,70000.0,10176.0,99810.0,0.6,0.0,42.6,8.2,2.4
18017,IN,Cass,86000.0,9000.0,78879.0,0.8,0.0,-8.3,5.2,-0.5
12027,FL,De Soto,119200.0,15408.0,201817.0,0.8,0.8,69.3,9.7,4.0
17011,IL,Bureau,80900.0,12204.0,108554.0,2.0,0.0,34.2,7.7,2.0
20037,KS,Crawford,76600.0,8244.0,63116.0,1.2,0.0,-17.6,4.7,-1.0
45027,SC,Clarendon,104400.0,11364.0,119860.0,0.5,0.0,14.8,6.6,0.8
12051,FL,Hendry,117900.0,15060.0,179004.0,1.3,0.7,51.8,8.7,3.0
37033,NC,Caswell,101100.0,11268.0,115414.0,0.7,0.0,14.2,6.5,0.8
42035,PA,Clinton,140700.0,11316.0,105739.0,1.3,0.0,-24.8,4.3,-1.4
51155,VA,Pulaski,111800.0,12480.0,135825.0,0.6,0.0,21.5,6.9,1.2
08075,CO,Logan,134100.0,15528.0,216390.0,0.5,0.8,61.4,9.2,3.5
47021,TN,Cheatham,190800.0,14952.0,196354.0,0.6,0.7,2.9,5.9,0.2
37055,NC,Dare,315700.0,17952.0,282236.0,0.6,1.3,-10.6,5.1,-0.6
13277,GA,Tift,124000.0,13092.0,142253.0,1.0,0.2,14.7,6.6,0.8
22121,LA,West Baton Rouge,193200.0,15672.0,223682.0,0.4,0.9,15.8,6.6,0.9
48249,TX,Jim Wells,93400.0,12504.0,122401.0,1.3,0.0,31.1,7.5,1.8
22047,LA,Iberville,92800.0,13500.0,168819.0,0.3,0.3,81.9,10.4,4.7
48179,TX,Gray,79700.0,11964.0,110729.0,1.6,0.0,38.9,7.9,2.2
16017,ID,Bonner,272400.0,15348.0,209369.0,0.5,0.8,-23.1,4.4,-1.3
06071,CA,San Bernardino,342400.0,20880.0,340220.0,1.0,1.7,-0.6,5.7,-0.0
47103,TN,Lincoln,109600.0,11808.0,127149.0,0.5,0.0,16.0,6.6,0.9
53037,WA,Kittitas,284900.0,20220.0,341186.0,0.7,1.6,19.8,6.9,1.1
48259,TX,Kendall,354100.0,24420.0,419235.0,1.2,2.1,18.4,6.8,1.1
20191,KS,Sumner,77400.0,8988.0,70320.0,1.6,0.0,-9.1,5.2,-0.5
55093,WI,Pierce,209300.0,13248.0,131508.0,1.6,0.2,-37.2,3.6,-2.1
47051,TN,Franklin,122000.0,13728.0,163808.0,0.7,0.4,34.3,7.7,2.0
19125,IA,Marion,139200.0,13596.0,145388.0,1.3,0.3,4.4,6.0,0.3
18183,IN,Whitley,153000.0,13464.0,154265.0,0.8,0.3,0.8,5.8,0.0
46135,SD,Yankton,165200.0,14388.0,161352.0,1.4,0.6,-2.3,5.6,-0.1
22119,LA,Webster,51000.0,12480.0,143776.0,0.3,0.0,181.9,16.1,10.4
18023,IN,Clinton,98700.0,10236.0,98424.0,0.7,0.0,-0.3,5.7,-0.0
36005,NY,Bronx,427200.0,21852.0,382767.0,0.8,1.8,-10.4,5.1,-0.6
39107,OH,Mercer,157800.0,13272.0,139778.0,1.3,0.2,-11.4,5.1,-0.7
51137,VA,Orange,216900.0,16080.0,228109.0,0.6,0.9,5.2,6.0,0.3
37139,NC,Pasquotank,149300.0,13080.0,144279.0,0.8,0.2,-3.4,5.5,-0.2
56013,WY,Fremont,218300.0,12576.0,138853.0,0.6,0.0,-36.4,3.6,-2.1
48271,TX,Kinney,64900.0,12048.0,119204.0,1.1,0.0,83.7,10.5,4.8
30081,MT,Ravalli,212700.0,13656.0,164614.0,0.6,0.4,-22.6,4.4,-1.3
32003,NV,Clark,273800.0,15924.0,210506.0,0.9,0.9,-23.1,4.4,-1.3
51670,VA,Hopewell City,111500.0,11208.0,111098.0,0.9,0.0,-0.4,5.7,-0.0
48147,TX,Fannin,95800.0,14244.0,156239.0,1.4,0.5,63.1,9.3,3.6
35039,NM,Rio Arriba,176500.0,13812.0,181965.0,0.1,0.4,3.1,5.9,0.2
37099,NC,Jackson,188600.0,15096.0,208807.0,0.4,0.7,10.7,6.3,0.6
20057,KS,Ford,118600.0,10776.0,93897.0,1.6,0.0,-20.8,4.5,-1.2
19057,IA,Des Moines,90300.0,10776.0,96280.0,1.5,0.0,6.6,6.1,0.4
48477,TX,Washington,179400.0,16740.0,219477.0,1.2,1.1,22.3,7.0,1.3
28113,MS,Pike,111400.0,11448.0,119670.0,0.6,0.0,7.4,6.1,0.4
06067,CA,Sacramento,362300.0,20808.0,340962.0,0.9,1.7,-5.9,5.4,-0.3
51139,VA,Page,151200.0,14340.0,178765.0,0.7,0.5,18.2,6.8,1.0
51600,VA,Fairfax City,512200.0,29724.0,800176.0,0.9,2.5,56.2,8.9,3.2
20111,KS,Lyon,92600.0,9216.0,73872.0,1.5,0.0,-20.2,4.6,-1.2
19127,IA,Marshall,94200.0,10080.0,85513.0,1.5,0.0,-9.2,5.2,-0.5
53033,WA,King,627200.0,29184.0,804576.0,1.0,2.4,28.3,7.3,1.6
17203,IL,Woodford,154500.0,14988.0,159361.0,2.0,0.7,3.1,5.9,0.2
08039,CO,Elbert,490000.0,31632.0,745141.0,0.6,2.6,52.1,8.7,3.0
48071,TX,Chambers,213200.0,18228.0,249083.0,1.4,1.3,16.8,6.7,1.0
